Item_ID,Item_Name,Item_Type,Item_Fat_Content,Item_Weight (kg),Item_MRP (₹),Item_Visibility,Outlet_ID,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales (₹),Delivery_Time (mins),Customer_Rating
ITEM0208,Focus,Household,Regular,0.81,387.1,0.066,OUT027,Medium,Tier 3,Grocery Store,19188.92,32,4.0
ITEM0209,Show,Dairy,Regular,2.57,451.13,0.028,OUT010,Medium,Tier 3,Supermarket Type1,15463.74,50,3.2
ITEM0210,Consumer,Fruits,Regular,6.15,348.55,0.244,OUT049,Large,Tier 1,Supermarket Type2,15535.51,53,4.7
ITEM0211,All,Dairy,Regular,7.78,303.92,0.054,OUT010,Large,Tier 2,Supermarket Type1,14309.42,53,3.8
ITEM0212,Brother,Snacks,Regular,4.78,279.05,0.096,OUT018,Small,Tier 1,Supermarket Type2,14479.71,37,3.8
ITEM0213,Rule,Fruits,Low Fat,6.53,150.77,0.241,OUT027,Small,Tier 3,Supermarket Type1,9970.63,16,4.0
ITEM0214,Democratic,Bakery,Low Fat,5.59,391.63,0.134,OUT010,Large,Tier 2,Supermarket Type2,2344.54,12,2.9
ITEM0215,Activity,Vegetables,Low Fat,3.31,170.92,0.118,OUT018,Large,Tier 2,Supermarket Type2,13345.76,51,2.6
ITEM0216,Stuff,Dairy,Regular,7.83,382.05,0.035,OUT027,Large,Tier 3,Grocery Store,17280.61,46,3.3
ITEM0217,Myself,Household,Low Fat,3.18,194.51,0.063,OUT010,Small,Tier 2,Supermarket Type2,19183.09,55,4.4
ITEM0218,Research,Vegetables,Regular,1.13,395.81,0.129,OUT013,Small,Tier 3,Supermarket Type1,14356.77,20,4.4
ITEM0219,Ready,Household,Regular,6.32,222.19,0.211,OUT013,Large,Tier 3,Supermarket Type2,9850.4,41,2.7
ITEM0220,Start,Frozen Foods,Regular,7.68,359.21,0.242,OUT027,Large,Tier 3,Supermarket Type2,3310.88,30,4.2
ITEM0221,Example,Dairy,Low Fat,5.83,270.59,0.055,OUT027,Small,Tier 1,Grocery Store,10521.13,51,3.3
ITEM0222,Sure,Vegetables,Low Fat,5.39,354.42,0.037,OUT010,Large,Tier 2,Supermarket Type2,11383.06,42,3.3
ITEM0223,Mrs,Frozen Foods,Low Fat,9.89,123.45,0.244,OUT018,Medium,Tier 2,Supermarket Type2,436.87,16,4.5
ITEM0224,Green,Bakery,Low Fat,3.05,309.26,0.141,OUT010,Large,Tier 3,Supermarket Type2,8698.88,40,2.5
ITEM0225,Million,Fruits,Regular,4.61,332.59,0.242,OUT010,Large,Tier 1,Supermarket Type2,4363.51,57,3.3
ITEM0226,Walk,Bakery,Low Fat,9.43,123.63,0.238,OUT027,Small,Tier 2,Supermarket Type1,1123.38,54,3.8
ITEM0227,Speech,Vegetables,Regular,8.24,137.62,0.077,OUT010,Large,Tier 1,Supermarket Type2,956.35,44,3.6
ITEM0228,Late,Beverages,Regular,6.04,254.59,0.119,OUT049,Small,Tier 2,Supermarket Type1,1174.1,29,2.9
ITEM0229,Land,Fruits,Regular,0.67,410.04,0.098,OUT018,Large,Tier 1,Grocery Store,11044.5,52,3.8
ITEM0230,Second,Bakery,Regular,6.79,59.24,0.226,OUT010,Large,Tier 1,Supermarket Type1,13123.82,10,4.2
ITEM0231,Again,Household,Regular,9.07,128.32,0.119,OUT049,Small,Tier 2,Supermarket Type1,16601.68,28,3.6
ITEM0232,Item,Snacks,Regular,1.22,318.56,0.121,OUT049,Large,Tier 1,Grocery Store,972.26,53,4.9
ITEM0233,Simple,Fruits,Regular,8.72,478.84,0.139,OUT018,Medium,Tier 2,Supermarket Type1,18819.66,40,3.5
ITEM0234,Step,Fruits,Regular,6.47,51.27,0.079,OUT010,Large,Tier 3,Supermarket Type2,11702.78,55,5.0
ITEM0235,Kitchen,Vegetables,Regular,4.55,406.2,0.162,OUT013,Large,Tier 2,Supermarket Type2,8770.92,22,4.3
ITEM0236,Design,Beverages,Low Fat,0.76,173.31,0.215,OUT013,Medium,Tier 1,Supermarket Type2,771.9,42,2.9
ITEM0237,Skill,Snacks,Regular,3.56,146.14,0.211,OUT027,Small,Tier 1,Supermarket Type1,15864.63,36,3.9
ITEM0238,Film,Dairy,Regular,4.08,197.21,0.225,OUT018,Small,Tier 2,Grocery Store,10243.17,36,4.8
ITEM0239,Name,Frozen Foods,Low Fat,6.52,280.34,0.248,OUT027,Small,Tier 2,Grocery Store,9471.03,35,2.5
ITEM0240,About,Household,Low Fat,1.08,179.01,0.165,OUT049,Medium,Tier 3,Supermarket Type2,9354.4,20,4.8
ITEM0241,Election,Fruits,Regular,3.78,376.77,0.043,OUT018,Small,Tier 3,Supermarket Type1,7501.41,25,4.6
ITEM0242,Least,Fruits,Low Fat,1.42,364.63,0.059,OUT049,Small,Tier 1,Grocery Store,16106.95,12,2.5
ITEM0243,Significant,Fruits,Low Fat,2.46,46.26,0.189,OUT049,Small,Tier 1,Grocery Store,16426.79,22,4.3
ITEM0244,Resource,Vegetables,Regular,9.46,156.88,0.206,OUT018,Medium,Tier 1,Supermarket Type2,18090.03,11,4.8
ITEM0245,Radio,Vegetables,Low Fat,9.98,396.71,0.087,OUT013,Small,Tier 2,Supermarket Type2,4195.11,36,4.2
ITEM0246,Fill,Vegetables,Low Fat,8.91,40.69,0.246,OUT018,Small,Tier 2,Supermarket Type1,642.59,39,3.8
ITEM0247,Call,Household,Regular,1.7,76.57,0.147,OUT010,Small,Tier 2,Supermarket Type2,208.46,25,4.3
ITEM0248,Run,Fruits,Low Fat,3.58,256.43,0.232,OUT049,Small,Tier 3,Supermarket Type2,15288.48,11,4.0
ITEM0249,Late,Bakery,Low Fat,5.75,480.27,0.097,OUT013,Medium,Tier 1,Grocery Store,3048.09,25,2.9
ITEM0250,Education,Bakery,Regular,2.42,139.95,0.199,OUT027,Large,Tier 2,Supermarket Type2,6627.1,49,2.5
ITEM0251,Eat,Snacks,Low Fat,4.22,231.25,0.181,OUT049,Large,Tier 3,Grocery Store,4668.54,29,3.9
ITEM0252,Show,Bakery,Regular,3.32,133.32,0.211,OUT010,Large,Tier 3,Supermarket Type1,16361.43,32,3.6
ITEM0253,Central,Vegetables,Regular,4.49,324.89,0.069,OUT027,Small,Tier 1,Supermarket Type1,9034.96,51,4.6
ITEM0254,Factor,Fruits,Low Fat,8.51,398.92,0.234,OUT049,Medium,Tier 2,Grocery Store,8460.31,26,3.1
ITEM0255,Human,Snacks,Regular,3.9,23.73,0.228,OUT049,Medium,Tier 2,Grocery Store,15364.94,18,3.0
ITEM0256,Argue,Bakery,Regular,9.8,325.44,0.106,OUT018,Medium,Tier 2,Grocery Store,4477.63,12,2.5
ITEM0257,Above,Bakery,Low Fat,9.38,316.0,0.188,OUT018,Large,Tier 2,Grocery Store,16952.71,56,2.8
ITEM0258,Hear,Fruits,Low Fat,7.65,253.55,0.103,OUT013,Small,Tier 3,Supermarket Type1,5068.52,36,3.3
ITEM0259,Country,Frozen Foods,Regular,4.87,25.66,0.19,OUT010,Small,Tier 1,Supermarket Type1,12660.28,27,4.9
ITEM0260,Window,Snacks,Regular,8.01,173.4,0.242,OUT013,Small,Tier 1,Supermarket Type1,387.81,17,3.2
ITEM0261,Through,Vegetables,Low Fat,9.05,245.42,0.137,OUT049,Large,Tier 1,Supermarket Type1,8589.45,59,2.8
ITEM0262,Story,Beverages,Regular,9.02,254.01,0.012,OUT018,Small,Tier 3,Supermarket Type2,15986.78,11,3.9
ITEM0263,Knowledge,Bakery,Regular,1.45,315.38,0.217,OUT013,Small,Tier 3,Supermarket Type1,18622.36,14,4.7
ITEM0264,Character,Frozen Foods,Low Fat,2.38,154.98,0.016,OUT018,Small,Tier 1,Grocery Store,17794.3,23,3.9
ITEM0265,Similar,Household,Regular,9.47,449.16,0.219,OUT010,Small,Tier 1,Supermarket Type1,10557.49,19,2.7
ITEM0266,Mean,Frozen Foods,Regular,0.94,458.8,0.23,OUT013,Large,Tier 2,Supermarket Type2,7187.9,49,2.6
ITEM0267,Health,Snacks,Regular,8.69,453.48,0.035,OUT013,Small,Tier 1,Supermarket Type2,1249.11,39,3.0
ITEM0268,Administration,Dairy,Low Fat,6.37,77.44,0.017,OUT013,Medium,Tier 1,Supermarket Type2,10540.68,34,4.7
ITEM0269,Deep,Vegetables,Low Fat,5.05,268.33,0.194,OUT027,Medium,Tier 1,Supermarket Type2,17736.59,33,4.7
ITEM0270,Statement,Household,Regular,8.31,226.45,0.078,OUT013,Small,Tier 2,Supermarket Type2,6478.19,11,2.6
ITEM0271,Establish,Vegetables,Low Fat,3.87,67.22,0.053,OUT018,Large,Tier 3,Grocery Store,4792.18,43,3.1
ITEM0272,Account,Beverages,Low Fat,7.86,292.75,0.028,OUT010,Small,Tier 2,Grocery Store,10873.68,26,4.8
ITEM0273,Let,Frozen Foods,Low Fat,5.95,371.27,0.195,OUT027,Medium,Tier 2,Supermarket Type1,8872.25,15,2.8
ITEM0274,Talk,Bakery,Low Fat,9.25,336.56,0.241,OUT010,Small,Tier 3,Supermarket Type1,5349.25,53,3.8
ITEM0275,Tv,Bakery,Low Fat,5.37,29.63,0.116,OUT049,Large,Tier 3,Supermarket Type2,14276.02,42,2.5
ITEM0276,Particular,Vegetables,Low Fat,5.39,148.91,0.091,OUT010,Small,Tier 2,Supermarket Type1,13913.6,34,4.7
ITEM0277,Water,Dairy,Low Fat,7.67,451.19,0.192,OUT027,Medium,Tier 2,Grocery Store,15877.36,32,2.5
ITEM0278,Ago,Snacks,Regular,7.95,444.93,0.053,OUT010,Small,Tier 3,Supermarket Type2,13260.77,20,2.9
ITEM0279,Campaign,Vegetables,Regular,7.53,358.66,0.14,OUT018,Small,Tier 2,Supermarket Type2,1097.52,39,3.8
ITEM0280,About,Bakery,Regular,7.93,269.88,0.12,OUT013,Large,Tier 1,Supermarket Type1,4220.57,14,3.9
ITEM0281,Per,Household,Low Fat,4.04,70.21,0.203,OUT049,Medium,Tier 1,Supermarket Type1,10616.34,47,2.8
ITEM0282,For,Beverages,Low Fat,1.98,47.42,0.019,OUT049,Small,Tier 3,Supermarket Type2,10733.17,59,4.2
ITEM0283,Best,Household,Regular,7.03,370.21,0.207,OUT013,Large,Tier 1,Supermarket Type1,19666.12,38,3.7
ITEM0284,Alone,Frozen Foods,Low Fat,4.52,447.08,0.194,OUT027,Medium,Tier 3,Supermarket Type2,6733.84,34,4.5
ITEM0285,Second,Beverages,Regular,3.11,200.35,0.176,OUT013,Small,Tier 1,Supermarket Type1,3834.6,50,3.4
ITEM0286,Crime,Snacks,Low Fat,4.88,165.37,0.069,OUT018,Medium,Tier 3,Supermarket Type1,9475.49,50,3.0
ITEM0287,Study,Beverages,Regular,4.42,101.21,0.208,OUT027,Medium,Tier 3,Supermarket Type1,12544.15,52,3.5
ITEM0288,Management,Snacks,Regular,7.43,196.56,0.063,OUT013,Medium,Tier 3,Grocery Store,13431.07,41,3.1
ITEM0289,Dinner,Fruits,Low Fat,2.34,203.57,0.242,OUT027,Small,Tier 2,Supermarket Type1,6236.34,10,3.4
ITEM0290,Most,Bakery,Low Fat,5.5,286.33,0.203,OUT018,Large,Tier 1,Grocery Store,6436.76,21,3.9
ITEM0291,Big,Snacks,Regular,3.65,56.99,0.029,OUT027,Medium,Tier 1,Supermarket Type2,10550.91,46,3.6
ITEM0292,Different,Dairy,Low Fat,7.51,342.0,0.196,OUT027,Medium,Tier 3,Supermarket Type1,4465.55,54,3.5
ITEM0293,Area,Vegetables,Regular,0.93,50.61,0.081,OUT013,Small,Tier 3,Supermarket Type2,18890.9,10,4.0
ITEM0294,Road,Dairy,Regular,8.27,443.33,0.245,OUT027,Small,Tier 3,Supermarket Type1,5003.52,52,3.1
ITEM0295,Discuss,Dairy,Regular,5.9,127.79,0.168,OUT018,Large,Tier 2,Supermarket Type1,10114.71,46,4.1
ITEM0296,Anyone,Frozen Foods,Regular,8.61,254.49,0.167,OUT010,Large,Tier 2,Grocery Store,16635.91,11,4.1
ITEM0297,Difference,Frozen Foods,Regular,9.12,120.37,0.06,OUT049,Small,Tier 1,Supermarket Type2,2358.31,25,4.4
ITEM0298,Customer,Snacks,Low Fat,7.91,140.35,0.073,OUT018,Medium,Tier 2,Grocery Store,5708.59,41,4.8
ITEM0299,Affect,Bakery,Regular,0.66,168.98,0.214,OUT027,Small,Tier 3,Supermarket Type2,14793.01,18,2.8
ITEM0300,Treat,Vegetables,Low Fat,8.66,105.66,0.222,OUT049,Small,Tier 3,Supermarket Type2,18449.73,30,2.6
ITEM0301,Head,Dairy,Regular,9.35,497.62,0.018,OUT013,Medium,Tier 3,Supermarket Type2,1628.54,54,4.1
ITEM0302,Surface,Beverages,Regular,1.5,419.84,0.139,OUT018,Large,Tier 1,Supermarket Type2,1471.84,54,4.6
ITEM0303,Number,Fruits,Regular,6.78,183.56,0.19,OUT049,Small,Tier 3,Supermarket Type2,19157.03,48,4.9
ITEM0304,Kind,Dairy,Regular,5.2,263.99,0.175,OUT010,Small,Tier 3,Supermarket Type2,16412.85,32,3.9
ITEM0305,Necessary,Beverages,Regular,4.05,317.12,0.084,OUT018,Medium,Tier 1,Grocery Store,8530.03,12,3.5
ITEM0306,A,Beverages,Low Fat,9.87,50.67,0.224,OUT010,Small,Tier 3,Grocery Store,15622.81,55,2.8
ITEM0307,With,Bakery,Low Fat,1.88,368.13,0.039,OUT049,Medium,Tier 3,Grocery Store,863.0,42,3.1
ITEM0308,May,Household,Regular,0.7,260.15,0.196,OUT049,Small,Tier 1,Supermarket Type1,13814.4,38,4.4
ITEM0309,Often,Fruits,Regular,9.08,301.31,0.163,OUT010,Small,Tier 3,Supermarket Type1,1861.47,26,3.3
ITEM0310,Friend,Household,Regular,9.6,451.58,0.17,OUT027,Small,Tier 2,Supermarket Type1,1599.42,15,4.3
ITEM0311,That,Bakery,Low Fat,3.36,254.33,0.077,OUT013,Large,Tier 1,Grocery Store,11673.93,11,2.9
ITEM0312,Reduce,Bakery,Regular,5.71,431.21,0.06,OUT010,Small,Tier 3,Supermarket Type1,12674.72,55,4.3
ITEM0313,Including,Vegetables,Regular,0.9,123.68,0.211,OUT013,Large,Tier 1,Supermarket Type2,13975.35,34,2.6
ITEM0314,Mention,Household,Low Fat,1.67,162.92,0.1,OUT013,Medium,Tier 3,Supermarket Type1,3930.81,22,4.0
ITEM0315,Inside,Fruits,Low Fat,4.06,295.23,0.175,OUT018,Small,Tier 3,Supermarket Type2,2523.44,20,3.5
ITEM0316,Little,Fruits,Low Fat,6.76,331.47,0.064,OUT049,Large,Tier 1,Grocery Store,1990.54,42,4.1
ITEM0317,Her,Fruits,Low Fat,1.23,302.19,0.164,OUT027,Medium,Tier 3,Grocery Store,18096.82,38,4.9
ITEM0318,Man,Dairy,Low Fat,8.44,38.99,0.099,OUT027,Medium,Tier 1,Grocery Store,17021.5,27,2.6
ITEM0319,Most,Vegetables,Regular,6.31,197.83,0.096,OUT013,Small,Tier 1,Supermarket Type2,12220.95,26,3.5
ITEM0320,Pressure,Frozen Foods,Regular,6.08,495.28,0.125,OUT027,Small,Tier 3,Grocery Store,12455.09,20,4.9
ITEM0321,Everybody,Vegetables,Low Fat,2.8,199.91,0.019,OUT018,Medium,Tier 3,Grocery Store,18371.0,47,4.6
ITEM0322,Their,Beverages,Regular,7.51,94.6,0.234,OUT010,Large,Tier 2,Supermarket Type1,6628.95,51,2.8
ITEM0323,Black,Beverages,Low Fat,4.39,67.4,0.142,OUT018,Small,Tier 2,Supermarket Type2,4056.87,38,5.0
ITEM0324,Trip,Household,Regular,3.33,114.78,0.218,OUT027,Small,Tier 2,Supermarket Type1,7658.61,40,3.6
ITEM0325,View,Beverages,Regular,2.02,364.44,0.247,OUT018,Medium,Tier 3,Supermarket Type2,17609.88,21,3.6
ITEM0326,Even,Frozen Foods,Low Fat,1.35,110.01,0.111,OUT049,Large,Tier 3,Supermarket Type1,8387.29,11,3.7
ITEM0327,Strong,Frozen Foods,Regular,1.89,55.37,0.128,OUT018,Small,Tier 3,Supermarket Type2,8198.71,41,2.7
ITEM0328,Cell,Dairy,Low Fat,0.68,417.63,0.141,OUT010,Medium,Tier 1,Supermarket Type1,2406.53,10,4.6
ITEM0329,Situation,Beverages,Low Fat,6.6,46.51,0.03,OUT018,Large,Tier 2,Grocery Store,12472.97,42,4.4
ITEM0330,Good,Household,Regular,9.28,294.56,0.117,OUT049,Medium,Tier 3,Grocery Store,7674.67,32,3.1
ITEM0331,Phone,Fruits,Low Fat,6.64,98.66,0.079,OUT013,Large,Tier 1,Supermarket Type1,8715.78,47,2.5
ITEM0332,Quickly,Bakery,Regular,4.85,100.55,0.15,OUT010,Medium,Tier 3,Supermarket Type1,4253.52,44,4.8
ITEM0333,Event,Snacks,Regular,5.08,46.59,0.173,OUT018,Medium,Tier 2,Grocery Store,12303.57,20,4.0
ITEM0334,Citizen,Frozen Foods,Low Fat,7.91,51.9,0.237,OUT027,Small,Tier 2,Supermarket Type1,14853.28,18,4.0
ITEM0335,Politics,Bakery,Low Fat,9.77,299.22,0.091,OUT027,Medium,Tier 2,Supermarket Type2,17049.37,19,4.6
ITEM0336,Individual,Snacks,Low Fat,6.04,256.53,0.015,OUT018,Small,Tier 1,Grocery Store,16879.71,13,4.2
ITEM0337,Model,Household,Regular,1.66,219.51,0.044,OUT027,Medium,Tier 3,Supermarket Type1,4743.11,55,2.9
ITEM0338,Generation,Snacks,Low Fat,1.35,332.37,0.239,OUT018,Small,Tier 1,Grocery Store,9091.37,28,4.3
ITEM0339,Side,Bakery,Regular,4.17,254.03,0.11,OUT013,Small,Tier 3,Grocery Store,6489.98,41,3.0
ITEM0340,Suggest,Beverages,Low Fat,3.4,68.73,0.031,OUT027,Large,Tier 3,Supermarket Type1,13196.16,34,4.8
ITEM0341,Choose,Beverages,Low Fat,9.02,300.67,0.137,OUT010,Medium,Tier 3,Supermarket Type1,6735.01,20,3.0
ITEM0342,Require,Household,Low Fat,2.49,42.15,0.101,OUT010,Small,Tier 3,Supermarket Type2,11259.97,32,3.5
ITEM0343,Majority,Frozen Foods,Low Fat,8.63,347.68,0.018,OUT013,Small,Tier 3,Grocery Store,19393.58,48,4.1
ITEM0344,Professional,Snacks,Regular,7.42,93.35,0.173,OUT049,Large,Tier 3,Grocery Store,18970.28,23,3.5
ITEM0345,Have,Fruits,Low Fat,1.68,70.18,0.241,OUT027,Small,Tier 1,Grocery Store,7257.73,35,3.8
ITEM0346,Music,Beverages,Low Fat,8.86,136.63,0.136,OUT027,Small,Tier 3,Grocery Store,13861.18,34,3.8
ITEM0347,Around,Dairy,Regular,5.62,94.21,0.206,OUT013,Medium,Tier 2,Supermarket Type2,16226.7,34,4.1
ITEM0348,Thought,Fruits,Low Fat,8.81,364.33,0.157,OUT049,Large,Tier 3,Supermarket Type2,5936.11,51,3.4
ITEM0349,Hit,Beverages,Low Fat,9.7,265.65,0.043,OUT027,Small,Tier 1,Grocery Store,15751.56,16,2.9
ITEM0350,Entire,Dairy,Regular,3.87,97.88,0.139,OUT027,Large,Tier 1,Supermarket Type2,789.8,15,4.8
ITEM0351,Fly,Vegetables,Low Fat,3.11,387.55,0.248,OUT027,Large,Tier 3,Supermarket Type2,11236.19,36,2.5
ITEM0352,Very,Dairy,Regular,5.58,484.93,0.011,OUT013,Large,Tier 2,Supermarket Type2,4397.92,34,2.6
ITEM0353,Need,Frozen Foods,Low Fat,8.29,219.24,0.156,OUT049,Large,Tier 1,Grocery Store,8193.0,46,3.3
ITEM0354,Generation,Frozen Foods,Regular,0.5,339.25,0.201,OUT013,Large,Tier 2,Supermarket Type1,12904.82,46,3.8
ITEM0355,Focus,Household,Low Fat,5.02,249.95,0.091,OUT013,Medium,Tier 1,Supermarket Type1,4141.96,53,4.0
ITEM0356,Shake,Bakery,Low Fat,3.89,197.89,0.186,OUT013,Large,Tier 2,Supermarket Type2,12917.24,51,3.6
ITEM0357,Show,Bakery,Low Fat,2.7,256.75,0.111,OUT013,Medium,Tier 1,Supermarket Type1,11057.07,50,3.2
ITEM0358,Prevent,Frozen Foods,Low Fat,1.9,92.34,0.221,OUT010,Small,Tier 2,Grocery Store,3577.58,53,3.9
ITEM0359,Behind,Vegetables,Low Fat,2.57,196.06,0.04,OUT027,Medium,Tier 2,Grocery Store,9304.23,46,2.9
ITEM0360,Support,Snacks,Regular,4.57,292.32,0.247,OUT013,Large,Tier 1,Supermarket Type2,15967.09,32,3.5
ITEM0361,Over,Bakery,Low Fat,9.18,26.2,0.075,OUT027,Small,Tier 3,Supermarket Type2,3852.81,30,4.9
ITEM0362,How,Household,Regular,6.53,156.92,0.07,OUT013,Large,Tier 2,Supermarket Type1,11521.26,49,3.1
ITEM0363,Agency,Vegetables,Regular,8.77,93.63,0.217,OUT013,Medium,Tier 3,Grocery Store,13571.04,50,4.1
ITEM0364,Far,Vegetables,Regular,5.25,61.01,0.057,OUT013,Medium,Tier 3,Grocery Store,3436.01,15,2.9
ITEM0365,Challenge,Household,Regular,9.79,422.68,0.051,OUT027,Medium,Tier 3,Grocery Store,6332.5,35,3.1
ITEM0366,Single,Fruits,Regular,9.15,160.68,0.219,OUT013,Medium,Tier 2,Supermarket Type1,3505.6,32,4.4
ITEM0367,Effect,Beverages,Regular,5.29,330.27,0.237,OUT049,Small,Tier 1,Supermarket Type2,2432.3,22,4.7
ITEM0368,Program,Fruits,Low Fat,1.77,284.3,0.166,OUT013,Medium,Tier 3,Supermarket Type1,4283.22,18,2.5
ITEM0369,Number,Snacks,Regular,4.21,478.84,0.201,OUT013,Medium,Tier 3,Supermarket Type2,18913.59,32,3.8
ITEM0370,Three,Beverages,Low Fat,9.36,492.68,0.162,OUT049,Small,Tier 2,Supermarket Type1,9211.45,56,3.5
ITEM0371,Bar,Beverages,Low Fat,2.56,436.97,0.204,OUT018,Medium,Tier 2,Supermarket Type1,19339.93,15,2.6
ITEM0372,Hot,Vegetables,Low Fat,2.55,105.89,0.072,OUT049,Small,Tier 1,Supermarket Type1,6606.93,29,3.0
ITEM0373,Officer,Bakery,Regular,7.31,148.56,0.248,OUT049,Small,Tier 1,Supermarket Type1,11375.28,53,3.5
ITEM0374,High,Dairy,Regular,3.99,366.92,0.124,OUT013,Large,Tier 1,Supermarket Type2,18268.83,12,2.9
ITEM0375,Now,Vegetables,Regular,1.04,274.19,0.161,OUT049,Large,Tier 3,Grocery Store,13136.41,17,2.6
ITEM0376,Week,Bakery,Low Fat,4.38,37.73,0.072,OUT018,Medium,Tier 2,Supermarket Type1,17303.07,37,4.5
ITEM0377,Population,Fruits,Low Fat,8.57,20.89,0.095,OUT049,Small,Tier 3,Grocery Store,13401.48,43,2.8
ITEM0378,Condition,Frozen Foods,Regular,1.93,407.21,0.134,OUT027,Small,Tier 2,Supermarket Type1,6027.2,47,4.7
ITEM0379,Interview,Bakery,Regular,6.39,110.64,0.091,OUT018,Medium,Tier 3,Supermarket Type2,1257.39,29,4.2
ITEM0380,Sure,Fruits,Regular,2.28,184.06,0.187,OUT049,Large,Tier 2,Grocery Store,2161.63,10,3.9
ITEM0381,Book,Bakery,Low Fat,4.77,48.62,0.121,OUT013,Medium,Tier 1,Supermarket Type1,18528.09,10,4.1
ITEM0382,Nice,Bakery,Low Fat,1.31,381.36,0.249,OUT049,Medium,Tier 2,Supermarket Type2,3880.75,49,3.4
ITEM0383,Economy,Bakery,Regular,2.13,463.51,0.191,OUT013,Medium,Tier 3,Grocery Store,4283.6,55,4.1
ITEM0384,Election,Fruits,Low Fat,2.78,490.43,0.188,OUT013,Small,Tier 2,Supermarket Type2,13992.1,31,5.0
ITEM0385,Last,Bakery,Low Fat,8.59,131.62,0.161,OUT027,Medium,Tier 2,Supermarket Type2,14832.09,13,4.2
ITEM0386,Commercial,Frozen Foods,Regular,5.79,236.56,0.142,OUT049,Large,Tier 3,Supermarket Type2,6930.12,40,4.4
ITEM0387,Black,Fruits,Regular,4.35,158.87,0.013,OUT010,Medium,Tier 3,Supermarket Type1,1141.46,33,3.0
ITEM0388,Old,Fruits,Low Fat,6.8,337.5,0.129,OUT013,Medium,Tier 2,Supermarket Type1,17072.26,19,4.4
ITEM0389,Draw,Household,Low Fat,3.27,325.24,0.065,OUT049,Small,Tier 1,Grocery Store,9837.66,55,3.3
ITEM0390,Give,Bakery,Low Fat,8.78,178.79,0.149,OUT049,Small,Tier 2,Supermarket Type2,10422.36,16,3.1
ITEM0391,Fall,Vegetables,Low Fat,2.88,201.4,0.15,OUT027,Small,Tier 3,Supermarket Type2,7339.43,54,4.1
ITEM0392,Leg,Household,Regular,1.92,447.66,0.084,OUT018,Large,Tier 3,Supermarket Type2,18824.62,55,3.2
ITEM0393,Set,Fruits,Low Fat,1.66,379.95,0.128,OUT027,Medium,Tier 1,Supermarket Type1,2841.0,47,3.4
ITEM0394,Move,Snacks,Low Fat,0.51,179.31,0.052,OUT013,Medium,Tier 2,Supermarket Type1,10557.0,41,4.1
ITEM0395,Skin,Frozen Foods,Low Fat,5.93,182.35,0.182,OUT018,Large,Tier 2,Supermarket Type2,17924.22,58,2.6
ITEM0396,Rather,Snacks,Low Fat,3.79,473.9,0.064,OUT027,Small,Tier 3,Supermarket Type2,2130.56,11,4.3
ITEM0397,Impact,Frozen Foods,Regular,1.19,306.38,0.063,OUT027,Medium,Tier 1,Supermarket Type1,3341.59,55,3.7
ITEM0398,Bar,Frozen Foods,Regular,6.14,157.92,0.191,OUT013,Large,Tier 3,Supermarket Type1,4062.49,51,3.6
ITEM0399,Enter,Bakery,Low Fat,1.34,199.05,0.125,OUT027,Medium,Tier 2,Supermarket Type1,16782.45,20,3.9
ITEM0400,I,Dairy,Low Fat,9.37,67.24,0.136,OUT018,Medium,Tier 1,Grocery Store,13387.88,29,3.2
ITEM0401,Protect,Beverages,Low Fat,8.17,261.7,0.147,OUT018,Medium,Tier 2,Grocery Store,15167.14,33,2.8
ITEM0402,Soon,Snacks,Low Fat,5.07,219.74,0.057,OUT013,Large,Tier 1,Supermarket Type2,6077.58,45,3.4
ITEM0403,Again,Beverages,Regular,1.61,196.24,0.153,OUT013,Large,Tier 1,Grocery Store,13564.47,10,4.7
ITEM0404,Grow,Dairy,Regular,5.88,249.31,0.237,OUT018,Large,Tier 3,Grocery Store,3219.72,21,3.9
ITEM0405,Will,Vegetables,Regular,1.48,161.11,0.187,OUT049,Medium,Tier 3,Supermarket Type2,6835.24,11,4.3
ITEM0406,Computer,Household,Low Fat,7.29,278.75,0.145,OUT010,Small,Tier 2,Grocery Store,882.11,47,4.7
ITEM0407,Party,Bakery,Regular,4.6,24.63,0.111,OUT027,Small,Tier 1,Grocery Store,8075.96,30,4.3
ITEM0408,Impact,Bakery,Low Fat,0.63,324.91,0.159,OUT027,Large,Tier 1,Grocery Store,16186.91,24,3.4
ITEM0409,Attack,Snacks,Low Fat,4.93,325.2,0.093,OUT010,Large,Tier 3,Grocery Store,6462.89,17,4.0
ITEM0410,Movie,Beverages,Low Fat,6.53,201.05,0.05,OUT010,Large,Tier 2,Grocery Store,410.37,47,4.5
ITEM0411,Situation,Vegetables,Low Fat,5.03,397.58,0.055,OUT049,Medium,Tier 3,Supermarket Type2,14205.0,45,4.6
ITEM0412,Protect,Fruits,Low Fat,4.3,156.39,0.094,OUT027,Large,Tier 3,Supermarket Type1,1689.62,33,4.5
ITEM0413,Street,Snacks,Low Fat,7.81,331.82,0.197,OUT010,Small,Tier 2,Grocery Store,10126.5,50,2.7
ITEM0414,Computer,Fruits,Low Fat,2.81,325.99,0.046,OUT049,Large,Tier 3,Grocery Store,4422.84,54,2.7
ITEM0415,Administration,Frozen Foods,Low Fat,1.45,296.93,0.142,OUT027,Large,Tier 2,Grocery Store,6121.78,57,4.8
